TEAM_ID,MISSION_TIME,PACKET_COUNT,PACKET_TYPE,SP_ALTITUDE,SP_TEMP,SP_ROTATION_RATE
2992,17:24:26,1,S1,481.6,37.1,23
2992,17:24:27,2,S1,463.9,37.1,21
2992,17:24:28,3,S1,446.8,36.9,20
2992,17:24:29,4,S1,430.8,36.8,22
2992,17:24:30,5,S1,412,36.7,21
2992,17:24:31,6,S1,396.1,36.6,22
2992,17:24:32,7,S1,377.2,36.4,21
2992,17:24:33,8,S1,361.4,36.3,21
2992,17:24:34,9,S1,345.1,36.2,19
2992,17:24:35,10,S1,328.9,36,22
2992,17:24:36,11,S1,311.9,35.9,21
2992,17:24:37,12,S1,296.1,35.7,23
2992,17:24:38,13,S1,279.1,35.6,21
2992,17:24:39,14,S1,263.9,35.5,22
2992,17:24:40,15,S1,248.7,35.3,21
2992,17:24:41,16,S1,232.8,35.2,23
2992,17:24:42,17,S1,217,35,23
2992,17:24:43,18,S1,198.2,34.9,22
2992,17:24:44,19,S1,180.9,34.7,22
2992,17:24:45,20,S1,165.3,34.6,20
2992,17:24:46,21,S1,146.3,34.4,19
2992,17:24:47,22,S1,130.7,34.3,23
2992,17:24:48,23,S1,113.9,34.1,20
2992,17:24:49,24,S1,97,34,20
2992,17:24:50,25,S1,79.1,33.8,19
2992,17:24:51,26,S1,62.4,33.7,20
2992,17:24:52,27,S1,45.9,33.5,23
2992,17:24:53,28,S1,26.9,33.4,21
2992,17:24:54,29,S1,11.1,33.3,19
2992,17:24:55,30,S1,0,33.1,9
2992,17:24:56,31,S1,0,33,0
2992,17:24:57,32,S1,0,32.9,0
2992,17:24:58,33,S1,0,32.7,0
2992,17:24:59,34,S1,0,32.6,0
2992,17:25:00,35,S1,0,32.5,0
2992,17:25:01,36,S1,0,32.4,0
2992,17:25:02,37,S1,0,32.2,0
2992,17:25:03,38,S1,0,32.1,0
2992,17:25:04,39,S1,0,31.9,0
2992,17:25:05,40,S1,0,31.8,0
2992,17:25:06,41,S1,0,31.7,0
2992,17:25:07,42,S1,0,31.5,0
2992,17:25:08,43,S1,0,31.4,0
