TEAM_ID,MISSION_TIME,PACKET_COUNT,PACKET_TYPE,SP_ALTITUDE,SP_TEMP,SP_ROTATION_RATE
2992,17:24:33,1,S2,370.2,36.4,21
2992,17:24:34,2,S2,353.8,36.3,20
2992,17:24:35,3,S2,337.4,36.2,19
2992,17:24:36,4,S2,320.7,36,21
2992,17:24:37,5,S2,304.8,35.9,21
2992,17:24:38,6,S2,286,35.7,21
2992,17:24:39,7,S2,269.9,35.6,23
2992,17:24:40,8,S2,254.6,35.5,21
2992,17:24:41,9,S2,237.6,35.3,21
2992,17:24:42,10,S2,219.2,35.2,20
2992,17:24:43,11,S2,200.9,35,20
2992,17:24:44,12,S2,181.6,34.9,21
2992,17:24:45,13,S2,164.5,34.7,19
2992,17:24:46,14,S2,149.5,34.6,20
2992,17:24:47,15,S2,129.8,34.4,20
2992,17:24:48,16,S2,114.1,34.3,20
2992,17:24:49,17,S2,94.5,34.1,19
2992,17:24:50,18,S2,76,34,19
2992,17:24:51,19,S2,57.5,33.8,21
2992,17:24:52,20,S2,38.6,33.7,21
2992,17:24:53,21,S2,19.9,33.5,21
2992,17:24:54,22,S2,3.7,33.4,21
2992,17:24:55,23,S2,0,33.3,12
2992,17:24:56,24,S2,0,33.1,0
2992,17:24:57,25,S2,0,33,0
2992,17:24:58,26,S2,0,32.9,0
2992,17:24:59,27,S2,0,32.7,0
2992,17:25:00,28,S2,0,32.6,0
2992,17:25:01,29,S2,0,32.5,0
2992,17:25:02,30,S2,0,32.4,0
2992,17:25:03,31,S2,0,32.2,0
2992,17:25:04,32,S2,0,32.1,0
2992,17:25:05,33,S2,0,31.9,0
2992,17:25:06,34,S2,0,31.8,0
2992,17:25:07,35,S2,0,31.7,0
2992,17:25:08,36,S2,0,31.5,0
