1,84.65
2,96.08
3,26.51
4,50.96
5,96.45
6,2.42
7,11.96
8,6.21
9,73.01
10,89.33
1,23.32
2,78.39
3,93.06
4,86.19
5,73.33
6,79.28
7,5.34
8,26.65
9,82.45
10,45.27
11,34.62
12,97.53
13,51.41
14,50.26
15,71.36
16,68.34
17,36.4
18,83.6
19,5.06
20,16.96
21,7.74
22,70.34
23,38.9
24,40.92
25,46.32
26,87.12
27,8.98
28,16.9
29,96.66
30,69.74
31,86.22
32,91.26
33,57.28
34,34.36
35,49.82
36,22.73
37,85.73
38,45.77
39,38.67
40,20.31
41,96.52
42,52.12
43,85.72
44,36.66
45,9.95
46,56.23
47,57.8
48,52.5
49,63.28
50,31.95
51,63.58
52,73.64
53,3.13
54,32.76
55,65.72
56,8.22
57,55.09
58,0.68
59,27.47
60,30.12
61,92.26
62,67.81
63,11.66
64,40.4
65,50.7
66,25.13
67,60.46
68,21.21
69,85.55
70,16.98
71,40.7
72,57.5
73,77.25
74,66.99
75,55.34
76,3.89
77,73.67
78,68.63
79,26.06
80,85.12
81,81.65
82,99.81
83,15.12
84,70.99
85,46.57
86,66.3
87,62.91
88,14.47
89,94.86
90,55.37
91,39.72
92,53.92
93,70.33
94,17.07
95,31.27
96,16.37
97,82.37
98,60.54
99,96.75
100,19.5
101,30.47
102,72.1
103,7.09
104,58.13
105,90.22
106,68.17
107,41.55
108,67.96
109,57.58
110,83.85
111,26.07
112,85.72
113,26.56
114,89.37
115,75.22
116,1.09
117,62.82
118,62.28
119,36.68
120,95.12
121,3.37
122,65.39
123,73.17
124,31.18
125,79.3
126,43.12
127,52.3
128,79.34
129,95.7
130,31.66
131,30.46
132,10.8
133,51.09
134,12.68
135,90.01
136,69.56
137,1.27
138,18.11
139,29.05
140,43.89
141,14.09
142,5.83
143,7.36
144,0.66
145,71.56
146,10.23
147,19.74
148,1.61
149,63.6
150,61.94
151,80.1
152,52.06
153,25.38
154,61.42
155,56.31
156,17.08
157,75.45
158,25.09
159,50.27
160,74.51
161,34.11
162,47.52
163,51.6
164,46.48
165,18.98
166,14.09
167,14.57
168,11.69
169,87.84
170,21.69
171,50.64
172,21.98
173,26.15
174,69.12
175,83.45
176,89.04
177,27.29
178,18.96
179,76.04
180,54.48
181,99.53
182,5.09
183,60.0
184,98.54
185,39.28
186,38.16
187,44.84
188,46.65
189,90.71
190,84.53
191,88.82
192,75.43
193,75.45
194,34.57
195,58.18
196,69.28
197,41.09
198,39.51
199,48.65
200,45.57
201,66.69
202,72.09
203,39.29
204,29.26
205,7.17
206,3.06
207,44.42
208,80.1
209,91.93
210,55.4
211,92.46
212,10.1
213,38.06
214,5.05
215,63.75
216,98.52
217,17.12
218,83.07
219,4.07
220,60.63
221,16.06
222,19.26
223,32.35
224,40.2
225,51.39
226,97.3
227,59.55
228,83.31
229,87.66
230,74.2
231,23.06
232,21.38
233,51.36
234,28.84
235,4.1
236,3.21
237,46.76
238,60.69
239,2.48
240,22.56
241,3.99
242,61.74
243,99.58
244,1.78
245,78.62
246,63.67
247,99.42
248,1.41
249,42.66
250,19.48
251,35.93
252,22.56
253,75.85
254,72.04
255,86.23
256,22.55
257,81.51
258,56.29
259,44.88
260,6.97
261,77.22
262,90.7
263,48.6
264,6.95
265,7.65
266,22.85
267,61.5
268,93.73
269,14.9
270,28.24
271,44.57
272,22.95
273,28.36
274,18.39
275,14.82
276,29.45
277,59.09
278,52.38
279,7.91
280,61.5
281,50.15
282,68.22
283,88.99
284,85.45
285,30.22
286,27.92
287,40.48
288,2.48
289,92.72
290,3.02
291,40.14
292,62.39
293,16.9
294,45.36
295,59.56
296,68.54
297,51.27
298,48.97
299,23.44
300,94.32
301,18.77
302,43.39
303,89.66
304,70.06
305,84.04
306,26.59
307,63.05
308,12.32
309,87.32
310,89.39
311,54.54
312,4.81
313,23.16
314,50.88
315,20.62
316,11.84
317,60.32
318,21.21
319,64.18
320,48.75
321,25.31
322,28.17
323,49.51
324,80.57
325,32.98
326,31.74
327,56.37
328,89.6
329,5.21
330,9.08
331,4.62
332,81.88
333,14.41
334,99.71
335,72.2
336,57.39
337,10.63
338,76.36
339,68.27
340,73.09
341,82.97
342,67.0
343,31.39
344,66.03
345,66.55
346,21.41
347,71.12
348,1.71
